PRODUCT_ID,NUMBER_OF_SALES,PRODUCT_CATEGORY,TRANSACTION_DATE,DAYNAME,TRANSACTION_TIME,HOUR,REVENUE,STORE_LOCATION,TRANSACTION_DATE,TRANSACTION_TIME,DAY_CLASSIFICATION,MONTH_NAME,TIME_BUCKET
48,1,Tea,1/1/2023,Sun,14:16.0,9,2.5,Lower Manhattan,1/1/2023,14:16.0,WEEKDAY,Jan,"01,MORNING"
37,1,Coffee,1/1/2023,Sun,46:46.0,9,6,Lower Manhattan,1/1/2023,46:46.0,WEEKDAY,Jan,"01,MORNING"
41,1,Coffee,1/1/2023,Sun,24:55.0,14,8.5,Astoria,1/1/2023,24:55.0,WEEKDAY,Jan,"02,AFTERNOON"
31,1,Coffee,1/1/2023,Sun,55:50.0,15,4.4,Astoria,1/1/2023,55:50.0,WEEKDAY,Jan,"02,AFTERNOON"
36,1,Coffee,1/1/2023,Sun,20:07.0,16,7.5,Astoria,1/1/2023,20:07.0,WEEKDAY,Jan,"03,EVENING"
60,1,Drinking Chocolate,1/2/2023,Mon,40:19.0,17,3.75,Astoria,1/2/2023,40:19.0,WEEKDAY,Jan,"03,EVENING"
69,1,Bakery,1/1/2023,Sun,03:34.0,14,3.25,Lower Manhattan,1/1/2023,03:34.0,WEEKDAY,Jan,"02,AFTERNOON"
32,1,Coffee,1/2/2023,Mon,44:55.0,16,6,Lower Manhattan,1/2/2023,44:55.0,WEEKDAY,Jan,"03,EVENING"
69,1,Bakery,1/2/2023,Mon,27:07.0,19,3.25,Hell's Kitchen,1/2/2023,27:07.0,WEEKDAY,Jan,"03,EVENING"
34,1,Coffee,1/4/2023,Wed,03:56.0,14,2.45,Lower Manhattan,1/4/2023,03:56.0,WEEKDAY,Jan,"02,AFTERNOON"
45,1,Tea,1/4/2023,Wed,17:16.0,17,3,Lower Manhattan,1/4/2023,17:16.0,WEEKDAY,Jan,"03,EVENING"
25,1,Coffee,1/4/2023,Wed,04:52.0,19,2.2,Astoria,1/4/2023,04:52.0,WEEKDAY,Jan,"03,EVENING"
42,1,Tea,1/8/2023,Sun,16:31.0,20,5,Lower Manhattan,1/8/2023,16:31.0,WEEKDAY,Jan,"04,NIGHT"
20,1,Packaged Chocolate,1/9/2023,Mon,27:16.0,17,7.6,Astoria,1/9/2023,27:16.0,WEEKDAY,Jan,"03,EVENING"
60,1,Drinking Chocolate,1/10/2023,Tue,43:04.0,16,7.5,Astoria,1/10/2023,43:04.0,WEEKDAY,Jan,"03,EVENING"
59,1,Drinking Chocolate,1/1/2023,Sun,18:10.0,18,4.5,Astoria,1/1/2023,18:10.0,WEEKDAY,Jan,"03,EVENING"
26,1,Coffee,1/3/2023,Tue,16:40.0,11,6,Astoria,1/3/2023,16:40.0,WEEKDAY,Jan,"01,MORNING"
48,1,Tea,1/3/2023,Tue,14:01.0,14,5,Lower Manhattan,1/3/2023,14:01.0,WEEKDAY,Jan,"02,AFTERNOON"
87,1,Coffee,1/3/2023,Tue,46:51.0,15,3,Hell's Kitchen,1/3/2023,46:51.0,WEEKDAY,Jan,"02,AFTERNOON"
31,1,Coffee,1/3/2023,Tue,04:17.0,17,2.2,Astoria,1/3/2023,04:17.0,WEEKDAY,Jan,"03,EVENING"
56,1,Tea,1/3/2023,Tue,15:25.0,17,2.55,Lower Manhattan,1/3/2023,15:25.0,WEEKDAY,Jan,"03,EVENING"
38,1,Coffee,1/4/2023,Wed,28:49.0,12,7.5,Astoria,1/4/2023,28:49.0,WEEKDAY,Jan,"02,AFTERNOON"
36,1,Coffee,1/4/2023,Wed,48:08.0,14,3.75,Astoria,1/4/2023,48:08.0,WEEKDAY,Jan,"02,AFTERNOON"
56,1,Tea,1/4/2023,Wed,14:28.0,15,5.1,Astoria,1/4/2023,14:28.0,WEEKDAY,Jan,"02,AFTERNOON"
46,1,Tea,1/4/2023,Wed,01:55.0,18,5,Hell's Kitchen,1/4/2023,01:55.0,WEEKDAY,Jan,"03,EVENING"
72,1,Bakery,1/5/2023,Thu,07:53.0,11,3.25,Lower Manhattan,1/5/2023,07:53.0,WEEKDAY,Jan,"01,MORNING"
36,1,Coffee,1/5/2023,Thu,53:49.0,11,3.75,Lower Manhattan,1/5/2023,53:49.0,WEEKDAY,Jan,"01,MORNING"
44,1,Tea,1/5/2023,Thu,28:02.0,18,5,Hell's Kitchen,1/5/2023,28:02.0,WEEKDAY,Jan,"03,EVENING"
79,1,Bakery,1/6/2023,Fri,07:57.0,11,3.75,Lower Manhattan,1/6/2023,07:57.0,WEEKDAY,Jan,"01,MORNING"
36,1,Coffee,1/6/2023,Fri,31:41.0,17,7.5,Astoria,1/6/2023,31:41.0,WEEKDAY,Jan,"03,EVENING"
60,1,Drinking Chocolate,1/6/2023,Fri,21:46.0,18,3.75,Astoria,1/6/2023,21:46.0,WEEKDAY,Jan,"03,EVENING"
60,1,Drinking Chocolate,1/7/2023,Sat,03:40.0,8,3.75,Astoria,1/7/2023,03:40.0,WEEKDAY,Jan,"01,MORNING"
